n	partition(n)	runtime(n)	memory(n)
398	5945790114707874597	0.01299285888671875	17789224
399	6324621482504294325	0.0630939006805419921875	17878600
400	6727090051741041926	0.0138800144195556640625	17968200
401	7154640222653942321	0.0130269527435302734375	18058024
402	7608802843339879269	0.063373088836669921875	18148072
403	8091200276484465581	0.0134460926055908203125	18238344
404	8603551759348655060	0.063767910003662109375	18328840
405	9147679068859117602	0.0142688751220703125	18419560
406	9725512513742021729	0.0138161182403564453125	18510504
407	10339097267123947241	0.0636270046234130859375	18601672
408	10990600063775926994	0.0137779712677001953125	18693192
409	11682316277192317780	0.0645592212677001953125	18784808
410	12416677403151190382	0.014565944671630859375	18876648
411	13196258966925435702	0.01406097412109375	18968712
412	14023788883518847344	0.064918041229248046875	19061000
413	14902156290309948968	0.014030933380126953125	19153512
414	15834420884488187770	0.0644581317901611328125	19246248
415	16823822787139235544	0.0146310329437255859375	19339208
416	17873792969689876004	0.0646140575408935546875	19432392
417	18987964267331664557	0.015408992767333984375	19528360
418	20170183018805933659	0.01445484161376953125	19624688
419	21424521360255636320	0.0661602020263671875	19721312
420	22755290216580025259	0.0147769451141357421875	19818200
421	24167053021441363961	0.06838893890380859375	19915352
422	25664640213837714846	0.0151131153106689453125	20012760
423	27253164546230421739	0.06509304046630859375	20110416
424	28938037257084798150	0.01569080352783203125	20208448
425	30724985147095051099	0.0150139331817626953125	20306600
426	32620068617410232189	0.0664150714874267578125	20404992
427	34629700713903575934	0.0150110721588134765625	20503624
428	36760667241831527309	0.066152095794677734375	20602504
429	39020148000237259665	0.01535797119140625	20701624
430	41415739207102358378	0.0663459300994873046875	20800984
431	43955477170518116534	0.015858173370361328125	20900584
432	46647863284229267991	0.0662319660186767578125	21000416
433	49501890409405150715	0.016292095184326171875	21100488
434	52527070729108240605	0.0154979228973388671875	21200800
435	55733465144636286656	0.0668010711669921875	21301352
436	59131714309169618645	0.01562595367431640625	21402136
